ID_Point;Latitude;Longitude;Type_emplacement;Accessibilite;RefStation;Nb_places;RefOp;RefConnecteur;RefFabricant
FR*V75*EBELI*8*1*3;48.884824;2.369992;trottoir;7/7-24/24;FR*V75*EBELI*8;1;OP01;CON01;F1
FR*V75*EBELI*88*1*1;48.823121;2.367798;trottoir;7/7-24/24;FR*V75*EBELI*88;1;OP01;CON01;F1
FR*V75*EBELI*96*1*3;48.8354975;2.3496502;trottoir;7/7-24/24;FR*V75*EBELI*96;1;OP01;CON01;F1
FR*V75*EBELI*98*1*2;48.850209;2.3616674;trottoir;7/7-24/24;FR*V75*EBELI*98;1;OP01;CON02;F1
FR*W75*EVP*0004*0005;48.869353;2.3382066;trottoir;7/7-24/24;FR*W75*PVP*0004;1;OP02;CON04;F2
FR*W75*EVP*0016*0001;48.855842;2.354055;trottoir;7/7-24/24;FR*W75*PVP*0016;1;OP02;CON03;F2
FR*W75*EVP*0017*0003;48.8596689;2.3542653;chaussée;7/7-24/24;FR*W75*PVP*0017;1;OP02;CON03;F2
FR*W75*EVP*0031*0005;48.8430076;2.3280363;trottoir;7/7-24/24;FR*W75*PVP*0031;1;OP02;CON03;F2
FR*W75*EVP*0031*0006;48.8430076;2.3280363;trottoir;7/7-24/24;FR*W75*PVP*0031;1;OP02;CON04;F2
FR*W75*EVP*0039*0004;48.8512827;2.3129161;chaussée;7/7-24/24;FR*W75*PVP*0039;1;OP02;CON03;F2
FR*W75*EVP*0043*0004;48.8508194;2.3237968;trottoir;7/7-24/24;FR*W75*PVP*0043;1;OP02;CON03;F2
FR*W75*EVP*0044*0006;48.8593659;2.3195393;trottoir;7/7-24/24;FR*W75*PVP*0044;1;OP02;CON04;F2
FR*W75*EVP*0051*0003;48.8724475;2.3041662;trottoir;7/7-24/24;FR*W75*PVP*0051;1;OP02;CON03;F2
FR*W75*EVP*0051*0004;48.8724475;2.3041662;trottoir;7/7-24/24;FR*W75*PVP*0051;1;OP02;CON03;F2
FR*W75*EVP*0056*0006;48.8795963;2.3263307;trottoir;7/7-24/24;FR*W75*PVP*0056;1;OP02;CON03;F2
FR*W75*EVP*0057*0004;48.87236;2.326167;trottoir;7/7-24/24;FR*W75*PVP*0057;1;OP02;CON03;F2
FR*W75*EVP*0061*0004;48.8804478;2.3283632;trottoir;7/7-24/24;FR*W75*PVP*0061;1;OP02;CON03;F2
FR*W75*EVP*0063*0004;48.8735894;2.3466528;chaussée;7/7-24/24;FR*W75*PVP*0063;1;OP02;CON03;F2
FR*W75*EVP*0066*0001;48.875464;2.342083;trottoir;7/7-24/24;FR*W75*PVP*0066;1;OP02;CON03;F2
FR*W75*EVP*0066*0002;48.875464;2.342083;trottoir;7/7-24/24;FR*W75*PVP*0066;1;OP02;CON03;F2
FR*W75*EVP*0067*0002;48.8723178;2.3387762;trottoir;7/7-24/24;FR*W75*PVP*0067;1;OP02;CON03;F2
FR*W75*EVP*0068*0006;48.8777212;2.3409177;chaussée;7/7-24/24;FR*W75*PVP*0068;1;OP02;CON03;F2
FR*W75*EVP*0073*0001;48.87119;2.364206;trottoir;7/7-24/24;FR*W75*PVP*0073;1;OP02;CON03;F2
FR*W75*EVP*0076*0003;48.87237;2.366288;trottoir;7/7-24/24;FR*W75*PVP*0076;1;OP02;CON03;F2
FR*W75*EVP*0083*0003;48.8690795;2.371679;trottoir;7/7-24/24;FR*W75*PVP*0083;1;OP02;CON03;F2
FR*W75*EVP*0085*0003;48.86661;2.36784;trottoir;7/7-24/24;FR*W75*PVP*0085;1;OP02;CON03;F2
FR*W75*EVP*0086*0005;48.8499672;2.387246;chaussée;7/7-24/24;FR*W75*PVP*0086;1;OP02;CON03;F2
FR*W75*EVP*0088*0003;48.8525733;2.3830368;trottoir;7/7-24/24;FR*W75*PVP*0088;1;OP02;CON03;F2
FR*W75*EVP*0098*0004;48.8351899;2.4002905;trottoir;7/7-24/24;FR*W75*PVP*0098;1;OP02;CON03;F2
FR*W75*EVP*0105*0001;48.8262319;2.3424498;trottoir;7/7-24/24;FR*W75*PVP*0105;1;OP02;CON03;F2
FR*W75*EVP*0110*0002;48.8279725;2.3721949;trottoir;7/7-24/24;FR*W75*PVP*0110;1;OP02;CON03;F2
FR*W75*EVP*0112*0003;48.8365583;2.3592348;trottoir;7/7-24/24;FR*W75*PVP*0112;1;OP02;CON03;F2
FR*W75*EVP*0112*0005;48.8365583;2.3592348;trottoir;7/7-24/24;FR*W75*PVP*0112;1;OP02;CON04;F2
FR*W75*EVP*0114*0001;48.82325;2.354296;trottoir;7/7-24/24;FR*W75*PVP*0114;1;OP02;CON03;F2
FR*W75*EVP*0114*0003;48.82325;2.354296;trottoir;7/7-24/24;FR*W75*PVP*0114;1;OP02;CON03;F2
FR*W75*EVP*0116*0004;48.8231521;2.3753988;trottoir;7/7-24/24;FR*W75*PVP*0116;1;OP02;CON03;F2
FR*W75*EVP*0118*0006;48.8395108;2.3301676;trottoir;7/7-24/24;FR*W75*PVP*0118;1;OP02;CON04;F2
FR*W75*EVP*0119*0001;48.8348549;2.3297831;trottoir;7/7-24/24;FR*W75*PVP*0119;1;OP02;CON03;F2
FR*W75*EVP*0123*0002;48.83126;2.313088;trottoir;7/7-24/24;FR*W75*PVP*0123;1;OP02;CON03;F2
FR*W75*EVP*0125*0003;48.827687;2.3330017;trottoir;7/7-24/24;FR*W75*PVP*0125;1;OP02;CON03;F2
FR*W75*EVP*0127*0002;48.8207604;2.3370783;trottoir;7/7-24/24;FR*W75*PVP*0127;1;OP02;CON03;F2
FR*W75*EVP*0131*0004;48.8287264;2.2989061;trottoir;7/7-24/24;FR*W75*PVP*0131;1;OP02;CON03;F2
FR*W75*EVP*0133*0005;48.8439105;2.2796928;trottoir;7/7-24/24;FR*W75*PVP*0133;1;OP02;CON03;F2
FR*W75*EVP*0135*0001;48.8406886;2.2876391;trottoir;7/7-24/24;FR*W75*PVP*0135;1;OP02;CON03;F2
FR*W75*EVP*0142*0005;48.8447061;2.3198109;trottoir;7/7-24/24;FR*W75*PVP*0142;1;OP02;CON03;F2
FR*W75*EVP*0148*0005;48.87031;2.275537;trottoir;7/7-24/24;FR*W75*PVP*0148;1;OP02;CON03;F2
FR*W75*EVP*0149*0002;48.8534164;2.2685249;mixte;7/7-24/24;FR*W75*PVP*0149;1;OP02;CON03;F2
FR*W75*EVP*0150*0006;48.8669712;2.2858795;trottoir;7/7-24/24;FR*W75*PVP*0150;1;OP02;CON04;F2
FR*W75*EVP*0156*0001;48.83791;2.262842;chaussée;7/7-24/24;FR*W75*PVP*0156;1;OP02;CON03;F2
FR*W75*EVP*0158*0002;48.867315;2.280347;trottoir;7/7-24/24;FR*W75*PVP*0158;1;OP02;CON03;F2
FR*W75*EVP*0161*0003;48.8794622;2.2899947;trottoir;7/7-24/24;FR*W75*PVP*0161;1;OP02;CON03;F2
FR*W75*EVP*0164*0003;48.8957574;2.3242009;trottoir;7/7-24/24;FR*W75*PVP*0164;1;OP02;CON03;F2
FR*W75*EVP*0168*0004;48.88003;2.29950738;trottoir;7/7-24/24;FR*W75*PVP*0168;1;OP02;CON03;F2
FR*W75*EVP*0172*0003;48.876042;2.288446;trottoir;7/7-24/24;FR*W75*PVP*0172;1;OP02;CON03;F2
FR*W75*EVP*0174*0003;48.8782587;2.2967633;trottoir;7/7-24/24;FR*W75*PVP*0174;1;OP02;CON03;F2
FR*W75*EVP*0174*0005;48.8782587;2.2967633;trottoir;7/7-24/24;FR*W75*PVP*0174;1;OP02;CON04;F2
FR*W75*EVP*0180*0001;48.8916426;2.3449781;trottoir;7/7-24/24;FR*W75*PVP*0180;1;OP02;CON03;F2
FR*W75*EVP*0180*0004;48.8916426;2.3449781;trottoir;7/7-24/24;FR*W75*PVP*0180;1;OP02;CON03;F2
FR*W75*EVP*0181*0001;48.8844148;2.3305461;trottoir;7/7-24/24;FR*W75*PVP*0181;1;OP02;CON03;F2
FR*W75*EVP*0184*0002;48.88608;2.359072;chaussée;7/7-24/24;FR*W75*PVP*0184;1;OP02;CON03;F2
FR*W75*EVP*0186*0005;48.8822728;2.3395493;mixte;7/7-24/24;FR*W75*PVP*0186;1;OP02;CON04;F2
FR*W75*EVP*0191*0005;48.886098;2.3936;trottoir;7/7-24/24;FR*W75*PVP*0191;1;OP02;CON04;F2
FR*W75*EVP*0191*0006;48.886098;2.3936;trottoir;7/7-24/24;FR*W75*PVP*0191;1;OP02;CON03;F2
FR*W75*EVP*0193*0005;48.8768667;2.3811899;trottoir;7/7-24/24;FR*W75*PVP*0193;1;OP02;CON04;F2
FR*W75*EVP*0195*0003;48.8777109;2.3916371;trottoir;7/7-24/24;FR*W75*PVP*0195;1;OP02;CON03;F2
FR*W75*EVP*0196*0005;48.899335;2.371162;trottoir;7/7-24/24;FR*W75*PVP*0196;1;OP02;CON03;F2
FR*W75*EVP*0208*0003;48.8676044;2.4021436;chaussée;7/7-24/24;FR*W75*PVP*0208;1;OP02;CON03;F2
FR*W75*EVP*0217*0003;48.835481;2.302408;trottoir;7/7-24/24;FR*W75*PVP*0217;1;OP02;CON03;F2
FR*W75*EVP*0219*0003;48.864292;2.280444;trottoir;7/7-24/24;FR*W75*PVP*0219;1;OP02;CON03;F2
FR*W75*EVP*0227*0004;48.8491535;2.4133021;trottoir;7/7-24/24;FR*W75*PVP*0227;1;OP02;CON03;F2
FR*V75*EBELI*11*1*1;48.861016;2.28308;trottoir;7/7-24/24;FR*V75*EBELI*11;1;OP01;CON01;F1
FR*V75*EBELI*15*1*2;48.846261;2.374758;trottoir;7/7-24/24;FR*V75*EBELI*15;1;OP01;CON02;F1
FR*V75*EBELI*2*1*3;48.878897;2.355064;trottoir;7/7-24/24;FR*V75*EBELI*2;1;OP01;CON01;F1
FR*V75*EBELI*20*1*1;48.882683;2.319695;trottoir;7/7-24/24;FR*V75*EBELI*20;1;OP01;CON01;F1
FR*V75*EBELI*20*1*2;48.882683;2.319695;trottoir;7/7-24/24;FR*V75*EBELI*20;1;OP01;CON02;F1
FR*V75*EBELI*21*1*3;48.826073;2.358193;trottoir;7/7-24/24;FR*V75*EBELI*21;1;OP01;CON01;F1
FR*V75*EBELI*26*1*1;48.865311;2.343436;trottoir;7/7-24/24;FR*V75*EBELI*26;1;OP01;CON01;F1
FR*V75*EBELI*27*1*1;48.860092;2.340572;trottoir;7/7-24/24;FR*V75*EBELI*27;1;OP01;CON01;F1
FR*V75*EBELI*31*1*3;48.85104;2.345493;trottoir;7/7-24/24;FR*V75*EBELI*31;1;OP01;CON01;F1
FR*V75*EBELI*36*1*2;48.857553;2.30437;trottoir;7/7-24/24;FR*V75*EBELI*36;1;OP01;CON02;F1
FR*V75*EBELI*51*1*1;48.841197;2.323891;trottoir;7/7-24/24;FR*V75*EBELI*51;1;OP01;CON01;F1
FR*V75*EBELI*59*1*3;48.883283;2.286938;trottoir;7/7-24/24;FR*V75*EBELI*59;1;OP01;CON01;F1
FR*V75*EBELI*60*1*1;48.874135;2.405196;trottoir;7/7-24/24;FR*V75*EBELI*60;1;OP01;CON01;F1
FR*V75*EBELI*77*1*2;48.837057;2.259932;trottoir;7/7-24/24;FR*V75*EBELI*77;1;OP01;CON02;F1
FR*V75*EBELI*79*1*2;48.88117;2.313751;trottoir;7/7-24/24;FR*V75*EBELI*79;1;OP01;CON02;F1
FR*V75*EBELI*85*1*3;48.872192;2.377671;trottoir;7/7-24/24;FR*V75*EBELI*85;1;OP01;CON01;F1
FR*W75*EVP*0002*0003;48.85971;2.34024;trottoir;7/7-24/24;FR*W75*PVP*0002;1;OP02;CON03;F2
FR*W75*EVP*0015*0005;48.8623505;2.3648513;chaussée;7/7-24/24;FR*W75*PVP*0015;1;OP02;CON04;F2
FR*W75*EVP*0028*0002;48.8397733;2.3476575;trottoir;7/7-24/24;FR*W75*PVP*0028;1;OP02;CON03;F2
FR*W75*EVP*0033*0002;48.84189;2.333149;chaussée;7/7-24/24;FR*W75*PVP*0033;1;OP02;CON03;F2
FR*W75*EVP*0034*0005;48.8425631;2.3363896;trottoir;7/7-24/24;FR*W75*PVP*0034;1;OP02;CON04;F2
FR*W75*EVP*0035*0001;48.8471079;2.3321208;mixte;7/7-24/24;FR*W75*PVP*0035;1;OP02;CON03;F2
FR*W75*EVP*0039*0005;48.8512827;2.3129161;chaussée;7/7-24/24;FR*W75*PVP*0039;1;OP02;CON03;F2
FR*W75*EVP*0060*0003;48.86972;2.326691;chaussée;7/7-24/24;FR*W75*PVP*0060;1;OP02;CON03;F2
FR*W75*EVP*0065*0004;48.87357;2.3348418;trottoir;7/7-24/24;FR*W75*PVP*0065;1;OP02;CON03;F2
FR*W75*EVP*0067*0003;48.8723178;2.3387762;trottoir;7/7-24/24;FR*W75*PVP*0067;1;OP02;CON03;F2
FR*W75*EVP*0068*0001;48.8777212;2.3409177;chaussée;7/7-24/24;FR*W75*PVP*0068;1;OP02;CON04;F2
FR*W75*EVP*0068*0002;48.8777212;2.3409177;chaussée;7/7-24/24;FR*W75*PVP*0068;1;OP02;CON03;F2
FR*W75*EVP*0073*0004;48.87119;2.364206;trottoir;7/7-24/24;FR*W75*PVP*0073;1;OP02;CON03;F2
FR*W75*EVP*0076*0005;48.87237;2.366288;trottoir;7/7-24/24;FR*W75*PVP*0076;1;OP02;CON04;F2
FR*W75*EVP*0084*0004;48.8553267;2.3783382;trottoir;7/7-24/24;FR*W75*PVP*0084;1;OP02;CON03;F2
FR*W75*EVP*0088*0004;48.8525733;2.3830368;trottoir;7/7-24/24;FR*W75*PVP*0088;1;OP02;CON03;F2
FR*W75*EVP*0092*0004;48.8476733;2.377312;trottoir;7/7-24/24;FR*W75*PVP*0092;1;OP02;CON03;F2
FR*W75*EVP*0092*0005;48.8476733;2.377312;trottoir;7/7-24/24;FR*W75*PVP*0092;1;OP02;CON03;F2
FR*W75*EVP*0094*0001;48.8334137;2.388111;trottoir;7/7-24/24;FR*W75*PVP*0094;1;OP02;CON03;F2
FR*W75*EVP*0094*0004;48.8334137;2.388111;trottoir;7/7-24/24;FR*W75*PVP*0094;1;OP02;CON03;F2
FR*W75*EVP*0098*0001;48.8351899;2.4002905;trottoir;7/7-24/24;FR*W75*PVP*0098;1;OP02;CON03;F2
FR*W75*EVP*0098*0005;48.8351899;2.4002905;trottoir;7/7-24/24;FR*W75*PVP*0098;1;OP02;CON03;F2
FR*W75*EVP*0103*0003;48.8276393;2.3810867;chaussée;7/7-24/24;FR*W75*PVP*0103;1;OP02;CON03;F2
FR*W75*EVP*0104*0001;48.8345242;2.353056;chaussée;7/7-24/24;FR*W75*PVP*0104;1;OP02;CON03;F2
FR*W75*EVP*0104*0003;48.8345242;2.353056;chaussée;7/7-24/24;FR*W75*PVP*0104;1;OP02;CON03;F2
FR*W75*EVP*0106*0004;48.8310493;2.3460584;trottoir;7/7-24/24;FR*W75*PVP*0106;1;OP02;CON03;F2
FR*W75*EVP*0108*0006;48.8260824;2.3580488;trottoir;7/7-24/24;FR*W75*PVP*0108;1;OP02;CON03;F2
