ID_Station;ID_Autolib;Nom_Station;Nom_Voie;CP
FR*V75*EBELI*13;NULL;BOULEVARD DE CLICHY;31 BOULEVARD DE CLICHY;75009
FR*W75*PVP*0002;75101-06;Paris/Amiral Coligny/2;2 RUE DE L'AMIRAL DE COLIGNY;75001
FR*W75*PVP*0012;75103-04;Paris/Réaumur/38;38 RUE REAUMUR;75003
FR*W75*PVP*0033;75106-09;Paris/Joseph Bara/15;15 RUE JOSEPH BARA;75006
FR*W75*PVP*0079;75110-34;Paris/Buisson Saint Louis/2;2 RUE DU BUISSON SAINT LOUIS;75010
FR*W75*PVP*0090;75112-07;Paris/Bastille/20;20 BOULEVARD DE LA BASTILLE;75012
FR*W75*PVP*0099;75112-32;Paris/Pommard/7;7 RUE DE POMMARD;75012
FR*W75*PVP*0221;75109-10;Paris/Rochechouart/35;35 BOULEVARD DE ROCHECHOUART;75009
FR*X75*PVP*0009;NULL;INVALIDES;45 BOULEVARD DES INVALIDES;75007
FR*V75*EBELI*34;NULL;RUE DE RENNES;66 RUE DE RENNES;75006
FR*V75*EBELI*4;NULL;AVENUE VICTOR HUGO;45 AVENUE VICTOR HUGO;75116
FR*V75*EBELI*41;NULL;RUE PIERRE CHARRON;55 RUE PIERRE CHARRON;75008
FR*V75*EBELI*42;NULL;RUE LOUIS MURAT;2 RUE LOUIS MURAT;75008
FR*V75*EBELI*59;NULL;AVENUE DE LA PORTE DE VILLIERS;2 AVENUE DE LA PORTE DE VILLIERS;75017
FR*V75*EBELI*71;NULL;234 RUE DE TOLBIAC;234 RUE DE TOLBIAC;75013
FR*V75*EBELI*77;NULL;AVENUE MARCEL DORET;4 AVENUE MARCEL DORET;75016
FR*V75*EBELI*82;NULL;RUE RIQUET;39 RUE RIQUET;75019
FR*W75*PVP*0022;75105-02;Paris/Dante/1;1 RUE DANTE;75005
FR*W75*PVP*0137;75115-27;Paris/Olier/15;15 RUE OLIER;75015
FR*W75*PVP*0180;75118-16;Paris/Ramey/62;62 RUE RAMEY;75018
FR*W75*PVP*0182;75118-21;Paris/Marcadet/220;220 RUE MARCADET;75018
FR*W75*PVP*0190;75119-13;Paris/Adolphe Mille/8;8 RUE ADOLPHE MILLE;75019
FR*X75*PVP*0007;NULL;INVALIDES;45 BOULEVARD DES INVALIDES;75007
FR*V75*EBELI*18;NULL;RUE CHARDON LAGACHE;2 RUE CHARDON LAGACHE;75016
FR*V75*EBELI*28;NULL;RUE DE REAUMUR;5 RUE REAUMUR;75003
FR*V75*EBELI*96;NULL;Berbier du Mets;21 RUE BERBIER DU METS;75013
FR*W75*PVP*0076;75110-31;Paris/Richerand/11;11 AVENUE RICHERAND;75010
FR*W75*PVP*0122;75114-08;Paris/Jean Moulin/34;34 AVENUE JEAN MOULIN;75014
FR*X75*PVP*0002;NULL;INVALIDES;45 BOULEVARD DES INVALIDES;75007
FR*V75*EBELI*24;NULL;RUE VILLIOT;10 RUE VILLIOT;75012
FR*V75*EBELI*32;NULL;RUE MONGE;55 RUE MONGE;75005
FR*V75*EBELI*78;NULL;BOULEVARD MURAT;15 BOULEVARD MURAT;75016
FR*V75*EBELI*86;NULL;RUE ORDENER;27 RUE ORDENER;75018
FR*V75*EBELI*99;NULL;RUE DE CRIMEE;14 RUE DE CRIMEE;75019
FR*W75*PVP*0077;75110-32;Paris/Saint-Denis/91;91 RUE DU FAUBOURG SAINT DENIS;75010
FR*W75*PVP*0140;75115-38;Paris/Mademoiselle/67;67 RUE MADEMOISELLE;75015
